policy_id,state_of_domicile,operating_pattern,vehicle_type,gvw_lbs,heavy_vehicle_flag,vehicle_age_years,adas_equipped_flag,driver_tenure_days,driver_age,mvr_violations_3yr,prior_at_fault_claims,fleet_safety_program_flag,policy_term_months,fleet_size,cargo_type,cargo_value_usd,region_weather_risk,total_miles,total_trips,harsh_braking_events,harsh_acceleration_events,speeding_events,phone_distraction_events,tailgating_events,night_driving_pct,max_continuous_driving_hrs,aggression_index_per100mi,speeding_rate_per100mi,fatigue_exposure_density,distraction_rate_per_trip,behavioral_volatility_index,speed_x_night_severity_multiplier,fatigue_x_longhaul_score,new_driver_heavy_vehicle_multiplier,behavioral_drift_signal,operational_exposure_risk_index,vehicle_years,earned_exposure,bi_limit_usd,collision_deductible_usd,coverage_type,had_claim_flag,num_claims_12mo,catastrophic_loss_flag,incurred_loss_12mo_usd,uw_risk_tier,claim_frequency,loss_per_vehicle_year,pure_premium
POL000001,FL,highway,semi_truck,68107,1,11.4,1,617,50,0,0,0,3,1,refrigerated,56250,high,48270,1335,436,297,1666,153.0,134.0,9.9,7.2,2.38,3.11,5.29,0.1146,5.0,0.082,1.589,1.839,0.03,0.2237,0.25,0.25,1002106,500,collision,0,0,0,0,Standard,0.0,0.0,0.0
POL000002,AZ,highway,van,14920,0,5.1,0,1643,53,2,0,1,6,13,dry_van,86710,low,22810,404,119,106,675,44.0,27.0,23.0,2.9,1.68,2.26,1.81,0.1089,5.0,0.116,0.521,0.0,-0.903,0.1753,0.5,0.5,98375,1000,combined,0,0,0,0,Preferred,0.0,0.0,0.0
POL000003,GA,urban,van,13497,0,0.0,1,4011,55,3,0,1,12,19,dry_van,71262,moderate,16111,292,39,62,544,14.0,13.0,16.6,5.0,1.85,4.11,3.92,0.0479,5.0,0.125,1.127,0.039,0.196,0.2465,0.537,0.537,1043912,500,combined,0,0,0,0,Standard,0.0,0.0,0.0
POL000004,IL,mixed,semi_truck,72192,1,3.0,0,255,43,1,1,0,12,3,livestock,63039,severe,29376,678,235,181,1188,72.0,88.0,20.0,5.8,3.45,5.3,4.13,0.1062,5.0,0.192,1.099,5.0,0.253,0.235,0.2938,0.2938,480097,1000,comprehensive,1,1,0,10235,Standard,3.403676,34836.62,34836.62
POL000005,CA,highway,box_truck,24970,0,8.2,0,303,31,1,0,0,12,27,refrigerated,98090,low,27846,664,237,179,1030,78.0,71.0,24.6,5.0,2.89,4.03,3.12,0.1175,5.0,0.16,1.031,0.0,0.833,0.2184,0.7956,0.7956,476819,1000,comprehensive,0,0,0,0,Standard,0.0,0.0,0.0
POL000006,CA,long_haul,semi_truck,73601,1,5.7,0,587,32,1,0,0,6,4,oversized,119566,low,40860,861,232,217,1571,117.0,70.0,17.3,6.7,3.12,3.64,4.81,0.1359,5.0,0.151,5.0,1.016,0.0,0.2185,0.4086,0.4086,103547,1000,combined,0,0,0,0,Standard,0.0,0.0,0.0
POL000007,CA,urban,straight_truck,29599,1,8.9,0,117,55,2,1,1,12,3,dry_van,57342,low,61361,795,253,184,2173,76.0,81.0,15.5,1.0,1.35,4.12,0.74,0.0956,5.0,0.068,0.401,5.0,-0.829,0.1421,1.0,1.0,314605,500,combined,0,0,0,0,Preferred,0.0,0.0,0.0
POL000008,OH,mixed,pickup,9229,0,5.9,0,572,23,0,0,0,12,4,dry_van,36579,severe,28220,771,258,217,1219,113.0,95.0,35.8,6.1,3.4,4.71,4.51,0.1466,5.0,0.253,1.464,0.0,0.113,0.2891,1.0,1.0,497116,1000,collision,0,0,0,0,High-Risk,0.0,0.0,0.0
POL000009,IL,mixed,semi_truck,72783,1,2.0,0,868,51,1,2,1,12,3,dry_van,50417,severe,52402,966,305,240,2038,123.0,90.0,4.2,6.6,2.34,4.46,4.4,0.1273,5.0,0.009,1.299,0.0,-0.214,0.1964,0.524,0.524,302607,1000,combined,0,0,0,0,Preferred,0.0,0.0,0.0
POL000010,GA,mixed,van,8045,0,1.5,0,56,26,0,1,1,12,1,dry_van,23980,moderate,41936,802,278,186,1558,110.0,93.0,44.5,6.1,2.16,3.77,4.27,0.1372,5.0,0.196,1.123,0.0,-1.466,0.2926,1.0,1.0,483845,500,combined,0,0,0,0,High-Risk,0.0,0.0,0.0
