ventile,n_policies,pred_freq_mean,obs_freq_mean,total_exposure,actual_claims,expected_claims,A_E_ratio
1,500,0.022774,0.018,321.5502,9,11.387229,0.7904
2,500,0.032646,0.034,332.9509,17,16.322806,1.0415
3,500,0.039385,0.036,327.061,18,19.692319,0.9141
4,500,0.044632,0.044,321.8749,22,22.315924,0.9858
5,500,0.049967,0.062,325.4356,31,24.983371,1.2408
6,500,0.055508,0.072,327.9281,36,27.754018,1.2971
7,500,0.061188,0.078,315.4566,39,30.593819,1.2748
8,500,0.066843,0.08,310.8859,40,33.421565,1.1968
9,500,0.073204,0.086,341.1269,43,36.60196,1.1748
10,500,0.080021,0.082,325.1488,41,40.010561,1.0247
11,500,0.087263,0.102,321.6146,51,43.631734,1.1689
12,500,0.09544,0.096,323.2423,48,47.719987,1.0059
13,500,0.105068,0.092,320.389,46,52.534201,0.8756
14,500,0.116936,0.128,332.9025,64,58.468167,1.0946
15,500,0.13186,0.114,306.8788,57,65.929957,0.8646
16,500,0.151903,0.134,317.0991,67,75.951288,0.8821
17,500,0.180233,0.168,333.7301,84,90.116623,0.9321
18,500,0.223244,0.224,321.1839,112,111.621948,1.0034
19,500,0.291955,0.278,329.5791,139,145.977277,0.9522
20,500,0.44908,0.432,312.5518,216,224.540169,0.962
