Feature,MI_norm,PI_norm,Score
operating_pattern_long_haul,0.5943083114059156,0.9999999489795944,0.7971541301927549
operational_exposure_risk_index,0.9999999970700278,0.0,0.4999999985350139
uw_risk_tier,0.8555521949851959,0.0,0.42777609749259793
fatigue_exposure_density,0.7354528926305874,0.0,0.3677264463152937
cargo_type_dry_van,0.0,0.6938775156184862,0.3469387578092431
fatigue_x_longhaul_score,0.5639152812487559,0.0,0.28195764062437795
vehicle_age_years,0.09300635035099715,0.44897956892959834,0.27099295964029774
night_driving_pct,0.5388737919641539,0.0,0.26943689598207693
operating_pattern_highway,0.299847675162402,0.1836734600166333,0.24176056758951764
heavy_vehicle_flag,0.0075912069691955585,0.3673469200333062,0.1874690635012509
vehicle_type_van,0.033551962234672696,0.28571427113700837,0.15963311668584054
state_of_domicile_TN,0.0,0.30612243336107436,0.15306121668053718
coverage_type_combined,0.0,0.28571427113700276,0.14285713556850138
coverage_type_comprehensive,0.11088243729690259,0.16326529779256732,0.13707386754473494
distraction_rate_per_trip,0.0,0.26530610891293677,0.13265305445646838
vehicle_type_box_truck,0.05939712988095932,0.20408162224071624,0.13173937606083777
coverage_type_collision,0.058677616141631514,0.18367346001665028,0.12117553807914089
region_weather_risk_low,0.12800483716342653,0.08163264889628083,0.10481874302985368
vehicle_type_straight_truck,0.026709781794202758,0.16326529779257298,0.09498753979338787
state_of_domicile_GA,0.13944751147733053,0.040816324448143246,0.0901319179627369
operating_pattern_mixed,0.1567968403010689,0.0,0.07839842015053446
behavioral_volatility_index,0.15431851954478723,0.0,0.07715925977239362
fleet_safety_program_flag,0.1481296298883914,0.0,0.0740648149441957
state_of_domicile_IL,0.0843964060896197,0.0612244866722092,0.07281044638091444
collision_deductible_usd,0.019899919994890894,0.12244897334442975,0.07117444666966033
speeding_events,0.1267064398646561,0.0,0.06335321993232805
cargo_type_general,0.0,0.12244897334442408,0.06122448667221204
cargo_type_refrigerated,0.0,0.1224489733444184,0.0612244866722092
speed_x_night_severity_multiplier,0.11699055390908641,0.0,0.05849527695454321
region_weather_risk_high,0.08606674707041118,0.02040816222405463,0.0532374546472329
speeding_rate_per100mi,0.10482022092787499,0.0,0.052410110463937495
cargo_type_oversized,0.08548629247910353,0.0,0.04274314623955176
cargo_value_usd,0.08032776070036972,0.0,0.04016388035018486
adas_equipped_flag,0.06748611352992936,0.0,0.03374305676496468
aggression_index_per100mi,0.06267819271328971,0.0,0.031339096356644856
state_of_domicile_TX,0.03884014136838083,0.02040816222405463,0.02962415179621773
gvw_lbs,0.049016442935551297,0.0,0.024508221467775648
prior_at_fault_claims,0.03870445731972035,0.0,0.019352228659860176
mvr_violations_3yr,0.02172988050264149,0.0,0.010864940251320745
vehicle_type_pickup,0.0,0.020408162224065957,0.010204081112032979
vehicle_type_semi_truck,0.0,0.020408162224060295,0.010204081112030148
behavioral_drift_signal,0.018747014532605438,0.0,0.009373507266302719
region_weather_risk_moderate,0.010303791483195197,0.0,0.0051518957415975985
cargo_type_livestock,0.0,0.0,0.0
new_driver_heavy_vehicle_multiplier,0.0,0.0,0.0
fleet_size,0.0,0.0,0.0
driver_age,0.0,0.0,0.0
driver_tenure_days,0.0,0.0,0.0
coverage_type_liability_only,0.0,0.0,0.0
bi_limit_usd,0.0,0.0,0.0
cargo_type_hazmat,0.0,0.0,0.0
policy_term_months,0.0,0.0,0.0
state_of_domicile_AZ,0.0,0.0,0.0
region_weather_risk_severe,0.0,0.0,0.0
operating_pattern_urban,0.0,0.0,0.0
state_of_domicile_PA,0.0,0.0,0.0
state_of_domicile_FL,0.0,0.0,0.0
state_of_domicile_OH,0.0,0.0,0.0
state_of_domicile_NY,0.0,0.0,0.0
state_of_domicile_CA,0.0,0.0,0.0
