Feature,MI_norm,PI_norm,Score
gvw_lbs,0.9999999991610183,0.9999999996171,0.9999999993890591
heavy_vehicle_flag,0.8706462769551597,0.0,0.43532313847757986
bi_limit_usd,0.2921062648122565,0.225381614714917,0.2587439397635867
aggression_index_per100mi,0.40074081621861746,0.00767405436683453,0.204207435292726
vehicle_type_van,0.3662710860257347,0.0,0.18313554301286736
speeding_events,0.33430034413202686,0.007475867955334583,0.1708881060436807
vehicle_type_semi_truck,0.24694604756790434,0.0003388706552503454,0.12364245911157734
fatigue_exposure_density,0.22360691460158258,0.020546491003007605,0.12207670280229509
region_weather_risk_low,0.21976666381353513,0.0,0.10988333190676756
vehicle_age_years,0.19308551969208124,0.026565829031006925,0.10982567436154408
distraction_rate_per_trip,0.13791999676533734,0.025300919926521184,0.08161045834592925
region_weather_risk_moderate,0.14096001543626255,0.0,0.07048000771813127
cargo_type_general,0.13438667583661446,0.0,0.06719333791830723
region_weather_risk_high,0.13012299122512774,0.0,0.06506149561256387
operating_pattern_long_haul,0.12968981467045113,0.0,0.06484490733522556
state_of_domicile_CA,0.12159343736484844,0.00033815422660186066,0.06096579579572515
operational_exposure_risk_index,0.11440283266809652,0.0014841132308276257,0.057943472949462074
coverage_type_liability_only,0.10722026898157792,0.0,0.05361013449078896
new_driver_heavy_vehicle_multiplier,0.0994615340202222,0.0,0.0497307670101111
cargo_value_usd,0.09827812364015136,0.0,0.04913906182007568
vehicle_type_pickup,0.08640964401205532,0.0,0.04320482200602766
speed_x_night_severity_multiplier,0.04394668691169274,0.03803231616754345,0.0409895015396181
speeding_rate_per100mi,0.07152582284850663,0.008919295675475204,0.04022255926199092
vehicle_type_box_truck,0.07756396326190236,0.0,0.03878198163095118
prior_at_fault_claims,0.07692751361825713,0.00044237858430377594,0.038684946101280454
cargo_type_oversized,0.055858756980540006,0.002349401487989037,0.029104079234264522
state_of_domicile_GA,0.056737438994337634,0.0,0.028368719497168817
cargo_type_refrigerated,0.05088193996734051,0.00040067237878090126,0.025641306173060704
region_weather_risk_severe,0.025834156637721453,0.00904903195136695,0.0174415942945442
cargo_type_livestock,0.025428175978742577,0.0,0.012714087989371289
operating_pattern_urban,0.01996613744981803,0.0019250932383341479,0.010945615344076088
fleet_size,0.021617244468568816,0.0,0.010808622234284408
operating_pattern_highway,0.02128668813943696,0.0003082625840637649,0.010797475361750363
state_of_domicile_OH,0.01452584774537024,0.002768883153282242,0.00864736544932624
vehicle_type_straight_truck,0.011374684730281947,0.005060130644343462,0.008217407687312705
behavioral_volatility_index,0.016162068894853922,0.0,0.008081034447426961
collision_deductible_usd,0.014114569092872628,0.0,0.007057284546436314
state_of_domicile_FL,0.012348739781197176,0.0,0.006174369890598588
state_of_domicile_PA,0.00732075421831191,0.00011540242834556453,0.003718078323328737
coverage_type_combined,0.0,0.00628135055477404,0.00314067527738702
coverage_type_comprehensive,0.003118491495295231,0.0,0.0015592457476476156
night_driving_pct,0.0,0.002316881145019643,0.0011584405725098214
state_of_domicile_TN,0.0,0.0012810357229369868,0.0006405178614684934
state_of_domicile_IL,0.0,0.0009461398023943823,0.00047306990119719115
cargo_type_hazmat,0.0,0.0007717436118310191,0.00038587180591550954
operating_pattern_mixed,0.0,0.0004188246171457154,0.0002094123085728577
policy_term_months,0.0,0.00041808072253136404,0.00020904036126568202
state_of_domicile_TX,0.0,0.00030296625329643043,0.00015148312664821522
state_of_domicile_NY,0.0,7.539128423872661e-05,3.769564211936331e-05
mvr_violations_3yr,0.0,0.0,0.0
behavioral_drift_signal,0.0,0.0,0.0
cargo_type_dry_van,0.0,0.0,0.0
adas_equipped_flag,0.0,0.0,0.0
fleet_safety_program_flag,0.0,0.0,0.0
fatigue_x_longhaul_score,0.0,0.0,0.0
driver_tenure_days,0.0,0.0,0.0
driver_age,0.0,0.0,0.0
coverage_type_collision,0.0,0.0,0.0
state_of_domicile_AZ,0.0,0.0,0.0
uw_risk_tier,0.0,0.0,0.0
