Feature,PI_mean,PI_std
operating_pattern_long_haul,0.0019599999999999505,0.0011092339699089637
cargo_type_dry_van,0.0013599999999999502,0.0005122499389946443
vehicle_age_years,0.0008799999999999474,0.0009086253353280278
heavy_vehicle_flag,0.000719999999999954,0.0007332121111929178
state_of_domicile_TN,0.0005999999999999339,0.00032249030993190646
vehicle_type_van,0.0005599999999999494,0.0005986651818838359
coverage_type_combined,0.0005599999999999384,0.0003199999999999648
distraction_rate_per_trip,0.0005199999999999539,0.0013629380029920384
vehicle_type_box_truck,0.00039999999999995595,0.0005656854249492386
coverage_type_collision,0.00035999999999997145,0.0006311893535223816
operating_pattern_highway,0.00035999999999993817,0.0005199999999999837
vehicle_type_straight_truck,0.00031999999999996474,0.0002993325909418823
coverage_type_comprehensive,0.0003199999999999537,0.0003487119154832384
collision_deductible_usd,0.00023999999999997358,0.0006248199740725275
cargo_type_general,0.00023999999999996247,0.0005713142742834164
cargo_type_refrigerated,0.00023999999999995135,0.0004454211490263846
region_weather_risk_low,0.00015999999999997128,0.0003199999999999842
state_of_domicile_IL,0.00011999999999997568,0.0002561249694973083
state_of_domicile_GA,7.999999999999118e-05,0.00015999999999998234
vehicle_type_pickup,3.999999999998449e-05,0.0003322649545167145
vehicle_type_semi_truck,3.999999999997339e-05,0.00028000000000000404
region_weather_risk_high,3.9999999999962287e-05,0.00048826222462933347
state_of_domicile_TX,3.9999999999962287e-05,0.0003773592452822614
driver_tenure_days,0.0,0.0009641576634555195
fleet_safety_program_flag,0.0,0.0005946427498927233
driver_age,0.0,0.0005425863986500059
mvr_violations_3yr,0.0,0.000651152823843978
prior_at_fault_claims,0.0,0.0006974238309665126
state_of_domicile_AZ,0.0,0.0003600000000000122
uw_risk_tier,0.0,0.0028610487587596295
bi_limit_usd,0.0,0.0011999999999999789
operational_exposure_risk_index,0.0,0.0032102336363573295
new_driver_heavy_vehicle_multiplier,0.0,0.000954148835350127
behavioral_drift_signal,0.0,0.0008800000000000111
fatigue_x_longhaul_score,0.0,0.0026484712571594924
speed_x_night_severity_multiplier,0.0,0.0010127191120937798
night_driving_pct,0.0,0.0014136477637657831
behavioral_volatility_index,0.0,0.0
fatigue_exposure_density,0.0,0.0021923503369671517
speeding_rate_per100mi,0.0,0.0008039900496896611
speeding_events,0.0,0.0007683749084919381
aggression_index_per100mi,0.0,0.0011349008767288732
fleet_size,0.0,0.0012059850745345048
cargo_value_usd,0.0,0.0014886235252742628
adas_equipped_flag,0.0,0.0009303762679690217
gvw_lbs,0.0,0.0010276186062932009
policy_term_months,0.0,0.0005946427498927233
state_of_domicile_OH,0.0,0.0004079215610874192
state_of_domicile_CA,0.0,0.0003199999999999842
state_of_domicile_NY,0.0,0.0001600000000000268
state_of_domicile_PA,0.0,0.0
state_of_domicile_FL,0.0,0.0004079215610874236
operating_pattern_urban,0.0,0.0007807688518377116
operating_pattern_mixed,0.0,0.0012158947322856485
coverage_type_liability_only,0.0,0.0005122499389946426
cargo_type_hazmat,0.0,0.0001788854381999883
cargo_type_oversized,0.0,0.0001600000000000268
cargo_type_livestock,0.0,0.00026832815729997
region_weather_risk_moderate,0.0,0.00046647615158761644
region_weather_risk_severe,0.0,0.000280000000000012
