Feature,PI_mean,PI_std
gvw_lbs,0.2611648054444511,0.04402992882864491
bi_limit_usd,0.05886174558031569,0.019885295410864146
speed_x_night_severity_multiplier,0.009932702456301568,0.00665250075560632
vehicle_age_years,0.006938059573010058,0.003102427637517795
distraction_rate_per_trip,0.0066077098327056326,0.004403455413988703
fatigue_exposure_density,0.005366020327421295,0.004734911293512347
region_weather_risk_severe,0.0023632886699442744,0.0010164914234571784
speeding_rate_per100mi,0.002329406120678945,0.0028228433391361677
aggression_index_per100mi,0.002004192916451886,0.0025234168090531475
speeding_events,0.0019524336008309496,0.006348879146621134
coverage_type_combined,0.0016404676961940922,0.000766881636080038
vehicle_type_straight_truck,0.0013215280357594783,0.0005744780903941774
state_of_domicile_OH,0.0007231348303022633,0.00037424076268229505
cargo_type_oversized,0.0006135809827565008,0.000425478057696801
night_driving_pct,0.0006050878137086602,0.004944942430850716
operating_pattern_urban,0.0005027666012444754,0.0003464513989568967
operational_exposure_risk_index,0.00038759814333504393,0.0019100292448092904
state_of_domicile_TN,0.0003345614454763335,0.00017825914158529045
state_of_domicile_IL,0.00024709841751019423,0.00014501860492860833
cargo_type_hazmat,0.00020155227031402046,0.00025459142144438365
prior_at_fault_claims,0.0001155337169467252,0.0005137907914271803
operating_pattern_mixed,0.00010938224969408994,9.468163695901389e-05
policy_term_months,0.00010918797060178731,0.00032168501600490773
cargo_type_refrigerated,0.00010464152389134673,5.431186441529247e-05
vehicle_type_semi_truck,8.850108878317719e-05,0.00028554925493604473
state_of_domicile_CA,8.831398283450919e-05,0.00011001904025676048
operating_pattern_highway,8.050733782364317e-05,7.306408255312749e-05
state_of_domicile_TX,7.912412262869317e-05,9.640337971343725e-05
state_of_domicile_PA,3.0139052758226814e-05,3.133817838206486e-05
state_of_domicile_NY,1.9689550087953477e-05,0.0001851253448141516
collision_deductible_usd,0.0,0.0011211372545888473
uw_risk_tier,0.0,0.00019039612829290263
fatigue_x_longhaul_score,0.0,0.005200183468837884
new_driver_heavy_vehicle_multiplier,0.0,0.0021578293390909086
behavioral_volatility_index,0.0,1.3866681133119837e-16
behavioral_drift_signal,0.0,0.00824930865841048
adas_equipped_flag,0.0,0.00048022015684959853
heavy_vehicle_flag,0.0,0.0005533353649399522
driver_age,0.0,0.004801742379391852
driver_tenure_days,0.0,0.006737313371305315
mvr_violations_3yr,0.0,0.0012546816438255344
fleet_safety_program_flag,0.0,0.00020704292587772212
fleet_size,0.0,0.0015275639071985073
cargo_value_usd,0.0,0.002651403616805839
state_of_domicile_AZ,0.0,1.5740127955196997e-16
vehicle_type_pickup,0.0,0.00017356629154104104
operating_pattern_long_haul,0.0,0.00024528690638145995
state_of_domicile_FL,0.0,0.00015178599998282347
state_of_domicile_GA,0.0,0.00021099270827066904
vehicle_type_box_truck,0.0,0.0012836588705471674
vehicle_type_van,0.0,0.00015606879345647447
coverage_type_collision,0.0,0.0011944589102976604
cargo_type_general,0.0,0.00028498918356092886
cargo_type_dry_van,0.0,0.0016078497541277556
coverage_type_liability_only,0.0,9.678699938266253e-17
coverage_type_comprehensive,0.0,0.0003363525625726344
cargo_type_livestock,0.0,1.8038988979531735e-16
region_weather_risk_high,0.0,0.0007043191092996899
region_weather_risk_low,0.0,4.6924387037887525e-05
region_weather_risk_moderate,0.0,0.0006152036328655979
